序号,品名,别名,英文名,CAS号,危险性类别,备注,来源页面
351,二甲氨基二氮硒杂茚,,dimethyl amino benzo selenophendiazol,,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 特异性靶器官毒性-反复接触,类别2",,48
352,二甲氨基甲酰氯,,dimethylcarbamoyl chloride,79-44-7,"急性毒性-吸入,类别3* 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 致癌性,类别1B 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,48
353,4-二甲氨基偶氮苯-4'-胂 酸,锆试剂,4-dimethylaminoazobenzene-4’-arsonic acid;yicon,622-68-4,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,48
354,二甲胺[无水],,"di-methylamine,anhydrous",124-40-3,"易燃气体,类别1 加压气体 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,48
,二甲胺溶液,,"di-methylamine,aqueous solution",,"易燃液体,类别1 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,49
355.0,"1,2-二甲苯",邻二甲苯,"1,2-xylene;o-xylene",95-47-6,"易燃液体,类别3 皮肤腐蚀/刺激,类别2 危害水生环境-急性危害,类别2",,49
356.0,"1,3-二甲苯",间二甲苯,"1,3-xylene;m-xylene",108-38-3,"易燃液体,类别3 皮肤腐蚀/刺激,类别2 危害水生环境-急性危害,类别2",,49
357.0,"1,4-二甲苯",对二甲苯,"1,4-xylene;p-xylene",106-42-3,"易燃液体,类别3 皮肤腐蚀/刺激,类别2 危害水生环境-急性危害,类别2",,49
358.0,二甲苯异构体混合物,,xylene isomers mixture,1330-20-7,"易燃液体,类别3 皮肤腐蚀/刺激,类别2 危害水生环境-急性危害,类别2",,49
359.0,"2,3-二甲苯酚","1-羟基-2,3-二甲基苯；2,3- 二甲酚","2,3-xylenol;1- hydroxy-2,3- dimethyl",526-75-0,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,49
360.0,"2,4-二甲苯酚","1-羟基-2,4-二甲基苯；2,4- 二甲酚","2,4-xylenol;1- hydroxy-2,4- dimethyl",105-67-9,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,49
23,氨基化钙,氨基钙,calcium amide,23321-74-6,"遇水放出易燃气体的物质和混合物, 类别2",,4
24,氨基化锂,氨基锂,lithium amide,7782-89-0,"遇水放出易燃气体的物质和混合物, 类别2",,4
25,氨基磺酸,,amido-sulfonic acid;sulphamidic acid;sulphamic acid;sulfamic acid,5329-14-6,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 危害水生环境-长期危害,类别3",,4
26,5-(氨基甲基)-3-异噁唑 醇,3-羟基-5-氨基甲基异噁唑； 蝇蕈醇,5-aminomethyl-3-isoxazolol;muscimol;3- hydroxy-5-aminomethylisoxazole,2763-96-4,"急性毒性-经口,类别2",,4
27,氨基甲酸胺,,ammonium carbamate,1111-78-0,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别1",,4
28,(2-氨基甲酰氧乙基)三甲 基氯化铵,氯化氨甲酰胆碱；卡巴考,(2-carbamoyloxyethyl) trimethylammonium chloride;carbachol chloride;carbacholin,51-83-2,"急性毒性-经口,类别2",,4
29,3-氨基喹啉,,3-amino quinoline,580-17-6,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2",,4
30,2-氨基联苯,邻氨基联苯；邻苯基苯胺,2-aminodiphenyl;o-aminodiphenyl;o-phen ylaniline;biphenyl-2-ylamine,90-41-5,"危害水生环境-长期危害,类别3",,4
31,4-氨基联苯,对氨基联苯；对苯基苯胺,4-aminodiphenyl;p-amino diphenyl;p-phenylaniline;biphenyl-4-yl amine;xenylamine;4-aminobiphenyl,92-67-1,"致癌性,类别1A",,4
32,1-氨基乙醇,乙醛合氨,1-aminoethanol;acetaldehyde ammonia,75-39-8,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2",,4
33,2-氨基乙醇,乙醇胺；2-羟基乙胺,2-aminoethanol;ethanolamine;2-hydroxy ethyl amine,141-43-5,"皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-急性危害,类别2",,4
34,2-(2-氨基乙氧基)乙醇,,2-(2-aminoethoxy)ethanol,929-06-6,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,4
361,"2,5-二甲苯酚","1-羟基-2,5-二甲基苯；2,5- 二甲酚","2,5-xylenol;1- hydroxy-2,5- dimethyl",95-87-4,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,50
362,"2,6-二甲苯酚","1-羟基-2,6-二甲基苯；2,6- 二甲酚","2,6-xylenol;1- hydroxy-2,6- dimethyl",576-26-1,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,50
363,"3,4-二甲苯酚","1-羟基-3,4-二甲基苯","3,4-xylenol;1- hydroxy-3,4- dimethyl",95-65-8,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,50
364,"3,5-二甲苯酚","1-羟基-3,5-二甲基苯","3,5-xylenol;1-hydroxy-3,5-xylene;3,5-d imethylphenol",108-68-9,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1",,50
365,"O,O-二甲基-(2,2,2-三氯 -1-羟基乙基)膦酸酯",敌百虫,"dimethyl 2,2,2-trichloro-1-hydroxyethylphosphon ate;dipterex;trichlorphon;trichlorfon",52-68-6,"急性毒性-经口,类别3 皮肤致敏物,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,50
366,"O,O-二甲基-O-(2,2-二氯 乙烯基)磷酸酯",敌敌畏,"2,2-dichlorovinyl dimethyl phosphate;dichlorvos;DDVP;divipan",62-73-7,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别2* 皮肤致敏物,类别1 致癌性,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,50
367.0,"O,O-二甲基-O-(2-甲氧甲 酰基-1-甲基)乙烯基磷酸 酯[含量＞5%]",甲基-3-[(二甲氧基磷酰基) 氧代]-2-丁烯酸酯；速灭磷,2-methoxycarbonyl-1-methylvinyl dimethyl phosphate(more than 5%);methyl-3 - [(dimethoxy-phosphoryl) oxy] -2 - crotonate;mevinphos,7786-34-7,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,51
368.0,"N,N-二甲基-1,3-丙二胺",3-二甲氨基-1-丙胺,"N,N-dimethyl-1,3-diaminopropane;3-dime thylamino-1-propane;3-aminopropyldimet hylamine",109-55-7,"易燃液体,类别3 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 皮肤致敏物,类别1",,51
369.0,"4,4-二甲基-1,3-二噁烷",,"4,4-dimethyl-1,3-dioxane",766-15-4,"易燃液体,类别2",,51
370.0,"2,5-二甲基-1,4-二噁烷",,"2,5-dimethyl-1,4-dioxane",15176-21-3,"易燃液体,类别2",,51
371.0,"2,5-二甲基-1,5-己二烯",,"2,5-dimethyl-1,5-hexadiene",627-58-7,"易燃液体,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,51
372.0,"2,5-二甲基-2,4-己二烯",,"2,5-dimethyl-2,4-hexadiene",764-13-6,"易燃液体,类别3 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,51
373.0,"2,3-二甲基-1-丁烯",,"2,3-dimethyl-1-butene",563-78-0,"易燃液体,类别2",,51
374.0,"2,5-二甲基-2,5-二-(2- 乙基己酰过氧)己烷[含量 ≤100%]","2,5-二甲基-2,5-双-(过氧化 -2-乙基己酰)己烷","2,5-dimethyl-2,5-di-(2-ethylhexanoylpe roxy) hexane (not more than 100%)",13052-09-0,"有机过氧化物,C型",,51
375.0,"2,5- 二 甲 基 -2,5- 二 -(3,5,5-三甲基己酰过 氧)己烷[含量≤77%,含 A 型稀释剂≥23%]","2,5-二甲基-2,5-双-(过氧化 -3,5,5-三甲基己酰)己烷","2,5-dimethyl-2,5-di-(3,5,5-trimethylhe xanoyl-peroxy)hexane (not more than 77%,and diluent type A not less than 23%)",,"有机过氧化物,D型",,51
376.0,"2,5-二甲基-2,5-二(叔丁 基过氧)-3-己烷[52%＜含 量≤86%,含 A 型稀释剂 ≥14%]",,"2,5-dimethyl-2,5-di-(tert-butylperoxy) -3-hexyne (more than 52% but not more than 86%,and diluent type A not less than 14%)",1068-27-5,"有机过氧化物,C型",,51
,"2,5-二甲基-2,5-二(叔丁 基过氧)-3-己烷[86%＜含 量≤100%]",,"2,5-dimethyl-2,5-di-(tert-butylperoxy) -3-hexyne (more than 86%)",,"有机过氧化物,B型",,51
,"2,5-二甲基-2,5-二(叔丁 基过氧)-3-己烷[含量 ≤52%,含惰性固体≥48%]",,"2,5-dimethyl-2,5-di-(tert-butylperoxy) -3-hexyne (not more than 52%,and inert solid not less than 48%)",,"有机过氧化物,D型",,52
377.0,"2,5-二甲基-2,5-二(叔丁 基过氧)己烷[90%＜含量 ≤100%]","2,5-二甲基-2,5-双-(过氧化 叔丁基)己烷","2,5-dimethyl-2,5-di-(tert-butylperoxy) hexane (more than 90%)",78-63-7,"有机过氧化物,C型",,52
,"2,5-二甲基-2,5-二(叔丁 基过氧)己烷[52%＜含量 ≤90%, 含 A 型稀释剂 ≥10%]",,"2,5-dimethyl-2,5-di-(tert-butylperoxy) hexane (more than 52% but not more than 90%,and diluent type A not less than 10%)",,"有机过氧化物,D型",,52
,"2,5-二甲基-2,5-二(叔丁 基过氧)己烷[含量≤52%, 含A型稀释剂≥48%]",,"2,5-dimethyl-2,5-di-(tert-butylperoxy) hexane (not more than 52%,and diluent type A not less than 48%)",,"有机过氧化物,F型",,52
,"2,5-二甲基-2,5-二(叔丁 基过氧)己烷[含量≤77%]",,"2,5-dimethyl-2,5-di-(tert-butylperoxy) hexane (not more than 77%)",,"有机过氧化物,E型",,52
,"2,5-二甲基-2,5-二(叔丁 基过氧)己烷[糊状物,含 量≤47%]",,"2,5-dimethyl-2,5-di-(tert-butylperoxy) hexane (not more than 47% as a paste)",,"有机过氧化物,E型",,52
378.0,"2,5-二甲基-2,5-二氢过 氧化己烷[含量≤82%]","2,5-二甲基-2,5-过氧化二氢 己烷","2,5-dimethyl-2,5-dihydroperoxyhexane (not more than 82%)",3025-88-5,"有机过氧化物,C型",,52
379.0,"2,5-二甲基-2,5-双(苯甲 酰过氧)己烷[82%＜含量 ≤100%]","2,5-二甲基-2,5-双-(过氧化 苯甲酰)己烷","2,5-dimethyl-2,5-di-(benzoylperoxy) hexane (more than 82%);2,5-Dimethylhexan-2,5-diyldiperbe nzoat",2618-77-1,"有机过氧化物,B型",,52
,"2,5-二甲基-2,5-双(苯甲 酰过氧)己烷[含量≤82%, 惰性固体含量≥18%]",,"2,5-dimethyl-2,5-di-(benzoylperoxy) hexane (not more than 82%,and inert solid not less than 18%)",,"有机过氧化物,D型",,52
,"2,5-二甲基-2,5-双(苯甲 酰过氧)己烷[含量≤82%, 含水≥18%]",,"2,5-dimethyl-2,5-di-(benzoylperoxy) hexane (not more than 82%,and water not less than 18%)",,"有机过氧化物,C型",,52
380.0,"2,5-二甲基-2,5-双-(过 氧化叔丁基)-3-己炔[86% ＜含量≤100%]",,"2,5-dimethyl-2,5-di-(tert-butyl peroxy)-3-hexyne(more than 86%);2,5-dimethyl-2,5-di-(tert-butylpe roxy)hexyne-3",1068-27-5,"易燃液体,类别3 有机过氧化物,B型",,53
,"2,5-二甲基-2,5-双-(过 氧化叔丁基)-3-己炔[含 量 ≤52%, 含 惰 性 固 体 ≥48%]",,"2,5-dimethyl-2,5-di-(tert-butyl peroxy)-3-hexyne (not more than 52%,and inert solid not less than 48%)",,"有机过氧化物,D型",,53
,"2,5-二甲基-2,5-双-(过 氧化叔丁基)-3-己炔[52% ＜含量≤86%,A 型稀释剂 ≥14%]",,"2,5-dimethyl-2,5-di-(tert-butyl peroxy)-3-hexyne(more than 52% but not more than 86%,and diluent type A not less than 14%)",,"有机过氧化物,C型",,53
381.0,"2,3-二甲基-2-丁烯",四甲基乙烯,"2,3-dimethyl-2-butene;tetramethylethen e",563-79-1,"易燃液体,类别2",,53
382.0,"3-[2-(3,5-二甲基-2-氧 代环己基)-2-羟基乙基] 戊二酰胺",放线菌酮,"3 - [2 - (3,5 - dimethyl-2 - oxo-cyclohexyl) -2 - hydroxy-ethyl] glutarimide;cycloheximide",66-81-9,"急性毒性-经口,类别2* 生殖细胞致突变性,类别2 生殖毒性,类别1B 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,53
383.0,"2,6-二甲基-3-庚烯",,"2,6-dimethyl-3-heptene",2738-18-3,"易燃液体,类别2",,53
384.0,"2,4-二甲基-3-戊酮",二异丙基甲酮,"2,4-dimethylpentan-3-one;diisopropyl ketone",565-80-0,"易燃液体,类别2",,53
385.0,二甲基-4-(甲基硫代)苯 基磷酸酯,甲硫磷,dimethyl 4-(methylthio)phenyl phosphate,3254-63-5,"急性毒性-经口,类别2* 急性毒性-经皮,类别1",剧毒,53
386.0,"1,1´-二甲基-4,4´-联吡 啶阳离子",百草枯,"1,1'-dimethyl-4,4'-bipyridinium;paraqu at;gramoxone",4685-14-7,"急性毒性-经口,类别3 急性毒性-经皮,类别2 急性毒性-吸入,类别1 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,53
387,"3,3'-二甲基-4,4'-二氨 基联苯","邻二氨基二甲基联苯；3,3'- 二甲基联苯胺","4,4'-bi-o-toluidine;o-tolidine;3,3'-di methylbenzidine",119-93-7,"致癌性,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,54
388,"N´,N´-二甲基-N´-苯基 -N´-(氟二氯甲硫基)磺酰 胺",苯氟磺胺,"N-dichlorofluoromethylthio-N',N'-dimet hyl-N-phenylsulphamide;dichlofluanid",1085-98-9,"严重眼损伤/眼刺激,类别2 皮肤致敏物,类别1 危害水生环境-急性危害,类别1",,54
389,"O,O-二甲基-O-(1,2-二溴 -2,2-二氯乙基)磷酸酯",二溴磷,"1,2-dibromo-2,2-dichloroethyl dimethyl phosphate;naled powder",300-76-5,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 危害水生环境-急性危害,类别1",,54
390,"O,O-二甲基-O-(4-甲硫基 -3-甲基苯基)硫代磷酸酯",倍硫磷,"O,O-dimethyl-O-(4-methylthion-m-tolyl) phosphorothioate;fenthion;baytex;quele tox",55-38-9,"急性毒性-吸入,类别3* 生殖细胞致突变性,类别2 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,54
391,"O,O-二甲基-O-(4-硝基苯 基)硫代磷酸酯",甲基对硫磷,"O,O-dimethyl O-4-nitrophenyl phosphorothioate;metaphos;parathion-me thyl",298-00-0,"易燃液体,类别3 急性毒性-经口,类别2* 急性毒性-经皮,类别3* 急性毒性-吸入,类别2* 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,54
392,"(E)-O,O-二甲基-O-[1-甲 基-2-(1-苯基-乙氧基甲 酰)乙烯基]磷酸酯",巴毒磷,1-phenylethyl 3-(dimethoxyphosphinyloxy)isocrotonate powder;crotoxyphos powder,7700-17-6,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,54
393,"(E)-O,O-二甲基-O-[1-甲 基-2-(二甲基氨基甲酰) 乙烯基]磷酸酯[含量＞ 25%]","3-二甲氧基磷氧基-N,N-二甲 基异丁烯酰胺；百治磷","(E)-2-dimethylcarbamoyl-1-methylvinyl dimethyl phosphate(more than 25%);3-dimethoxy phosphinyloxy-N,N-dimethylisocrotonami de;dicrotophos ;bidrin",141-66-2,"急性毒性-经口,类别2* 急性毒性-经皮,类别3* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,54
394,"O,O-二甲基-O-[1-甲基 -2-(甲基氨基甲酰)乙烯 基]磷酸酯[含量＞0.5%]",久效磷,dimethyl-1-methyl-2-(methylcarbamoyl)v inyl phosphate(more than 0.5%);monocrotophos,6923-22-4,"急性毒性-经口,类别2* 急性毒性-经皮,类别3* 急性毒性-吸入,类别2* 生殖细胞致突变性,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,55
395,"O,O-二甲基-O-[1-甲基-2 氯-2-(二乙基氨基甲酰) 乙烯基]磷酸酯",2-氯-3-(二乙氨基)-1-甲基 -3-氧代-1-丙烯二甲基磷酸 酯；磷胺,2-chloro-2-diethylcarbamoyl-1-methylvi nyl dimethyl phosphate;2 - chloro -3 - (diethylamino)-1-methyl-3-oxo-1- propenyl dimethyl phosphate;dimecron;phosphamidon,13171-21-6,"急性毒性-经口,类别2* 急性毒性-经皮,类别3* 生殖细胞致突变性,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,55
396,"O,O-二甲基-S-(2,3-二氢 -5- 甲 氧 基 -2- 氧 代 -1,3,4-噻二唑-3-基甲 基)二硫代磷酸酯",杀扑磷,"2,3-dihydro-5-methoxy-2-oxo-1,3,4-thia diazol-3-ylmethyl-O,O-dimethylphosphor odithioate;ultracide;methidathion;",950-37-8,"急性毒性-经口,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,55
397,"O,O-二甲基-S-(2-甲硫基 乙基)二硫代磷酸酯(II)",二硫代田乐磷,"O,O-dimethyl S-2-methylthioethyl phosphorothioate;cymetox;demephion;dem ephion-S;",2587-90-8,"急性毒性-经口,类别2* 急性毒性-经皮,类别3*",,55
398,"O,O-二甲基-S-(2-乙硫基 乙基)二硫代磷酸酯",甲基乙拌磷,"S-2-ethylthioethyl O,O-dimethyl phosphorodithioate;thiometon",640-15-3,"急性毒性-经口,类别3* 危害水生环境-急性危害,类别2",,55
399,"O,O-二甲基-S-(3,4-二氢 -4- 氧 代 苯 并 [d]-[1,2,3]-三氮苯-3- 基甲基)二硫代磷酸酯",保棉磷,"O, O-dimethyl-S-(3,4 - dihydro-4 - oxo-benzo [d] - [1,2,3] - triazine -3 - ylmethyl) dithiophosphate ester;azinphos-methyl;conthion-methyl; gusathion",86-50-0,"急性毒性-经口,类别2* 急性毒性-经皮,类别3* 急性毒性-吸入,类别2* 皮肤致敏物,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,55
400,"O,O-二甲基-S-(N-甲基氨 基甲酰甲基)硫代磷酸酯",氧乐果,"O,O-dimethyl S-methylcarbamoylmethyl phosphorothioate;omethoate;folimat",1113-02-6,"急性毒性-经口,类别2 危害水生环境-急性危害,类别1",,55
401,"O,O-二甲基-S-(吗啉代甲 酰甲基)二硫代磷酸酯",茂硫磷,morphothion powder,144-41-2,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别3* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,56
402,"O,O-二甲基-S-(酞酰亚胺 基甲基)二硫代磷酸酯",亚胺硫磷,phosmet powder wettable powder;lmidanpowder;phthalophos powder wettable powder,732-11-6,"危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,56
403,"O,O-二甲基-S-(乙基氨基 甲酰甲基)二硫代磷酸酯",益棉磷,ethoate-methyl,2642-71-9,"急性毒性-经口,类别2* 急性毒性-经皮,类别3* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,56
404,"O-O-二甲基-S-[1,2-双 (乙氧基甲酰)乙基]二硫 代磷酸酯",马拉硫磷,"1,2-bis(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;malathion;forthion; carbofos",121-75-5,"皮肤致敏物,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,56
405,"4-N,N-二甲基氨基-3,5- 二甲基苯基N-甲基氨基甲 酸酯","4-二甲氨基-3,5-二甲苯基 -N-甲基氨基甲酸酯；兹克威","4-N, N-dimethyl-3 ,5 - dimethyl-phenyl N-methylcarbamate;4 - dimethylamino-3, 5 - dimethylphenyl-N-methylcarbamate;mexac arbate;zectran",315-18-4,"急性毒性-经口,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,56
406,"4-N,N-二甲基氨基-3-甲 基苯基N-甲基氨基甲酸酯",灭害威,4-dimethylamino-3-tolyl methylcarbamate;aminocarb,2032-59-9,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,56
407,4-二甲基氨基-6-(2-二甲 基氨乙基氧基)甲苯-2-重 氮氯化锌盐,,4-dimethylamino-6-(2-dimethylami-noeth oxy)toluene-2-diazonium zinc chloride,135072-82-1,"自反应物质和混合物,D型",,56
408,8-(二甲基氨基甲基)-7- 甲氧基氨基-3-甲基黄酮,二甲弗林,8-(dimerhylamino-methyl)-7-methoxy-3-m ethyifiavone;dimefline,1165-48-6,"急性毒性-经口,类别2",,56
409,3-二甲基氨基亚甲基亚氨 基苯基-N-甲基氨基甲酸 酯(或其盐酸盐),伐虫脒,3-[(EZ)-dimethylaminomethyleneamino]ph enyl methylcarbamate;formetanate,22259-30-9; 23422-53-9,"急性毒性-经口,类别2* 急性毒性-吸入,类别2* 皮肤致敏物,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,57
410,"N,N-二甲基氨基乙腈",2-(二甲氨基)乙腈,"N,N-dimethylaminoacetonitrile;2-dimeth ylaminoacetonitrile",926-64-7,"易燃液体,类别2 急性毒性-经口,类别2 急性毒性-经皮,类别1",剧毒,57
411,"2,3-二甲基苯胺","1-氨基-2,3-二甲基苯","2,3-xylidine;1-amino-2,3-dimethylbenze ne",87-59-2,"急性毒性-经皮,类别3 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,57
412,"2,4-二甲基苯胺","1-氨基-2,4-二甲基苯","2,4-xylidine;1-amino-2,4-dimethylbenze ne",95-68-1,"严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,57
413,"2,5-二甲基苯胺","1-氨基-2,5-二甲基苯","2,5-xylidine;1-amino-2,5-dimethylbenze ne",95-78-3,"特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,57
414,"2,6-二甲基苯胺","1-氨基-2,6-二甲基苯","2,6-xylidine;1-amino-2,6-dimethylbenze ne",87-62-7,"皮肤腐蚀/刺激,类别2 致癌性,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,57
415,"3,4-二甲基苯胺","1-氨基-3,4-二甲基苯","3,4-xylidine;1-amino-3,4-dimethylbenze ne",95-64-7,"特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,57
416,"3,5-二甲基苯胺","1-氨基-3,5-二甲基苯","3,5-xylidine;1-amino-3,5-dimethylbenze ne",108-69-0,"严重眼损伤/眼刺激,类别2B 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,58
417,"N,N-二甲基苯胺",,"N,N-dimethylaniline",121-69-7,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别3* 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,58
418,二甲基苯胺异构体混合物,,xylidine isomers mixture,1300-73-8,"急性毒性-吸入,类别2 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别2 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,58
419,"3,5-二甲基苯甲酰氯",,"3,5-dimethylbenzoyl chloride",6613-44-1,"皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 皮肤致敏物,类别1",,58
420,"2,4-二甲基吡啶","2,4-二甲基氮杂苯","2,4-dimethylpyridine;2,4-lutidine",108-47-4,"易燃液体,类别3 急性毒性-经口,类别3",,58
421,"2,5-二甲基吡啶","2,5-二甲基氮杂苯","2,5-dimethylpyridine;2,5-lutidine",589-93-5,"易燃液体,类别3",,58
422,"2,6-二甲基吡啶","2,6-二甲基氮杂苯","2,6-dimethylpyridine;2,6-lutidine",108-48-5,"易燃液体,类别3",,58
423,"3,4-二甲基吡啶","3,4-二甲基氮杂苯","3,4-dimethylpyridine;3,4-lutidine",583-58-4,"易燃液体,类别3 急性毒性-经皮,类别2",,58
424,"3,5-二甲基吡啶","3,5-二甲基氮杂苯","3,5-dimethylpyridine;3,5-lutidine",591-22-0,"易燃液体,类别3",,58
425,"N,N-二甲基苄胺",N-苄基二甲胺；苄基二甲胺,"N,N-dimethylbenzyl amine;benzyldimethylamine;",103-83-3,"易燃液体,类别3 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 危害水生环境-长期危害,类别3",,58
426,"N,N-二甲基丙胺",,dimethyl-n-propylamine,926-63-6,"易燃液体,类别2",,59
427,"N,N-二甲基丙醇胺",3-(二甲胺基)-1-丙醇,"N,N-dimethyl propanolamine;3-(dimethylamino)-1-prop anol",3179-63-3,"易燃液体,类别3",,59
428,"2,2-二甲基丙酸甲酯",三甲基乙酸甲酯,"methyl 2,2-dimethyl propionate;methyl trimethylacetate",598-98-1,"易燃液体,类别2",,59
429,"2,2-二甲基丙烷",新戊烷,"2,2-dimethylpropane;neopentane",463-82-1,"易燃气体,类别1 加压气体 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,59
430,"1,3-二甲基丁胺",2-氨基-4-甲基戊烷,"1,3-dimethylbutylamine;2-amino-4-methy lpentane",108-09-8,"易燃液体,类别2 急性毒性-经皮,类别3 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,59
431,"1,3-二甲基丁醇乙酸酯",乙酸仲己酯；2-乙酸-4-甲基 戊酯,"1,3-dimethylbutyl acetate;sec-hexylacetate;4-methyl-2-pe ntyl acetate",108-84-9,"易燃液体,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2B 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,59
