序号,品名,别名,英文名,CAS号,危险性类别,备注,来源页面
852.0,过二硫酸钾,高硫酸钾；过硫酸钾,dipotassium peroxodisulphate;potassium persulphate;potassium persulfate,7727-21-1,"氧化性固体,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 呼吸道致敏物,类别1 皮肤致敏物,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,114
853.0,过二碳酸二-(2-乙基己) 酯[77%＜含量≤100%],,di-(2-ethylhexyl) peroxydicarbonate (more than 77%),16111-62-9,"有机过氧化物,C型",,114
,"过二碳酸二-(2-乙基己) 酯[含量≤52%,在水(冷 冻)中稳定弥散]",,di-(2-ethylhexyl) peroxydicarbonate (not more than 52% as a stable dispersion in water(frozen)),,"有机过氧化物,F型",,114
,"过二碳酸二-(2-乙基己) 酯[含量≤62%,在水中稳 定弥散]",,di-(2-ethylhexyl) peroxydicarbonate (not more than 62% as a stable dispersion in water),,"有机过氧化物,F型",,114
,"过二碳酸二-(2-乙基己) 酯[含量≤77%,含B型稀释 剂≥23%]",,"di-(2-ethylhexyl) peroxydicarbonate (not more than 77%, and diluent type B not less than 23%)",,"有机过氧化物,D型",,114
854.0,"过二碳酸二-(2-乙氧乙) 酯[含量≤52%,含B型稀释 剂≥48%]",,"di-(2-ethoxyethyl) peroxydicarbonate (not more than 52%, and diluent type B not less than 48%)",52373-74-7,"有机过氧化物,D型",,114
855.0,"过二碳酸二-(3-甲氧丁) 酯[含量≤52%,含B型稀释 剂≥48%]",,"di-(3-methoxybutyl)peroxydicarbonate (not more than 52%, and diluent type B not less than 48%)",52238-68-3,"有机过氧化物,D型",,114
856.0,过二碳酸钠,,disodium peroxydicarbonate;sodium percarbonate,3313-92-6,"氧化性固体,类别3",,114
857.0,"过二碳酸异丙仲丁酯、过 二碳酸二仲丁酯和过二碳 酸二异丙酯的混合物[过 二 碳 酸 异 丙 仲 丁 酯 ≤32%,15%≤过二碳酸二 仲丁酯≤18%,12%≤过二 碳酸二异丙酯≤15%,含 A 型稀释剂≥38%]",,"isopropyl sec-butyl peroxydicarbonate,di-sec-butyl peroxydicarbonate and peroxydicarbonate d iisopropyl mixtures with not less than 32% isopropyl sec-butyl peroxydicarbonate, and not less than 15% but not more than 18% di-sec-butyl peroxydicarbonate, and not less than 12% but not more than 15% peroxydicarbonate d iisopropyl, and not less than 38% diluent type A",,"有机过氧化物,D型",,115
,"过二碳酸异丙仲丁酯、过 二碳酸二仲丁酯和过二碳 酸二异丙酯的混合物[过 二碳酸异丙仲丁酯≤52%, 过二碳酸二仲丁酯≤28%, 过二碳酸二异丙酯≤22%]",,"butyl peroxydicarbonate and peroxydicarbonate d iisopropyl mixtures with not less than 52% isopropyl sec-butyl peroxydicarbonate, and not less than 28% di-sec-butyl peroxydicarbonate, and not less than 22% peroxydicarbonate d iisopropyl",,"有机过氧化物,B型",,115
858.0,过硫酸钠,过二硫酸钠；高硫酸钠,sodium per-sulfate;sodium peroxydisulfate;,7775-27-1,"氧化性固体,类别3 严重眼损伤/眼刺激,类别2B 呼吸道致敏物,类别1 皮肤致敏物,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,115
